Year,country,Origin,value
2017,Afghanistan,Iran (Islamic Rep. of),34
2017,Afghanistan,Pakistan,75893
2017,Angola,Burundi,9
2017,Angola,Central African Rep.,9
2017,Angola,Côte d'Ivoire,510
2017,Angola,Dem. Rep. of the Congo,38516
2017,Angola,Eritrea,34
2017,Angola,Western Sahara,18
2017,Angola,Guinea,107
2017,Angola,Liberia,155
2017,Angola,Mauritania,306
2017,Angola,Rwanda,273
2017,Angola,Sudan,313
2017,Angola,Sierra Leone,374
2017,Angola,Somalia,288
2017,Angola,Chad,184
2017,Angola,Uganda,6
2017,Angola,Zambia,7
2017,Albania,China,12
2017,Albania,Iran (Islamic Rep. of),12
2017,Albania,Serbia and Kosovo (S/RES/1244 (1999)),60
2017,Albania,Turkey,5
2017,United Arab Emirates,Afghanistan,5
2017,United Arab Emirates,Ethiopia,8
2017,United Arab Emirates,Iraq,697
2017,United Arab Emirates,Lebanon,6
2017,United Arab Emirates,Palestinian,5
2017,United Arab Emirates,Sudan,8
2017,United Arab Emirates,Somalia,17
2017,United Arab Emirates,Syrian Arab Rep.,128
2017,Argentina,Afghanistan,5
2017,Argentina,Angola,14
2017,Argentina,Albania,18
2017,Argentina,Armenia,78
2017,Argentina,Bangladesh,5
2017,Argentina,Bosnia and Herzegovina,6
2017,Argentina,Chile,33
2017,Argentina,Côte d'Ivoire,20
2017,Argentina,Cameroon,6
2017,Argentina,Dem. Rep. of the Congo,22
2017,Argentina,Colombia,544
2017,Argentina,Costa Rica,5
2017,Argentina,Cuba,255
2017,Argentina,Algeria,30
2017,Argentina,Ecuador,17
2017,Argentina,Ghana,38
2017,Argentina,Guinea,9
2017,Argentina,Guinea-Bissau,8
2017,Argentina,Haiti,66
2017,Argentina,India,22
2017,Argentina,Iran (Islamic Rep. of),23
2017,Argentina,Iraq,22
2017,Argentina,Kazakhstan,18
2017,Argentina,Liberia,44
2017,Argentina,Sri Lanka,37
2017,Argentina,The former Yugoslav Republic of Macedonia,9
2017,Argentina,Mali,9
2017,Argentina,Nigeria,42
2017,Argentina,Pakistan,32
2017,Argentina,Peru,547
2017,Argentina,Paraguay,8
2017,Argentina,Palestinian,10
2017,Argentina,Romania,51
2017,Argentina,Russian Federation,65
2017,Argentina,Senegal,42
2017,Argentina,Sierra Leone,37
2017,Argentina,El Salvador,22
2017,Argentina,Somalia,5
2017,Argentina,Syrian Arab Rep.,370
2017,Argentina,Turkey,11
2017,Argentina,Ukraine,94
2017,Argentina,Stateless,6
2017,Argentina,Yemen,15
2017,Armenia,Azerbaijan,2034
2017,Armenia,Côte d'Ivoire,6
2017,Armenia,Georgia,8
2017,Armenia,Iran (Islamic Rep. of),31
2017,Armenia,Iraq,1061
2017,Armenia,Lebanon,19
2017,Armenia,Palestinian,6
2017,Armenia,Syrian Arab Rep.,14680
2017,Armenia,Ukraine,113
2017,Armenia,Yemen,5
2017,Australia,Afghanistan,10922
2017,Australia,Albania,59
2017,Australia,United Arab Emirates,7
2017,Australia,Azerbaijan,9
2017,Australia,Burundi,50
2017,Australia,Bangladesh,434
2017,Australia,Bahrain,97
2017,Australia,Belarus,7
2017,Australia,China,2543
2017,Australia,Côte d'Ivoire,5
2017,Australia,Cameroon,42
2017,Australia,Dem. Rep. of the Congo,48
2017,Australia,Congo,13
2017,Australia,Colombia,116
2017,Australia,Germany,5
2017,Australia,Algeria,10
2017,Australia,Egypt,1560
2017,Australia,Eritrea,138
2017,Australia,Ethiopia,282
2017,Australia,Fiji,406
2017,Australia,United Kingdom,5
2017,Australia,Georgia,16
2017,Australia,Ghana,32
2017,Australia,Guinea,12
2017,Australia,Gambia,8
2017,Australia,Greece,6
2017,Australia,Indonesia,205
2017,Australia,India,388
2017,Australia,Iran (Islamic Rep. of),8077
2017,Australia,Iraq,4042
2017,Australia,Israel,15
2017,Australia,Italy,5
2017,Australia,Jordan,149
2017,Australia,Japan,10
2017,Australia,Kazakhstan,7
2017,Australia,Kenya,117
2017,Australia,Kyrgyzstan,14
2017,Australia,Cambodia,31
