lat,lng,country,year
18.03099607,-77.85199748,Jamaica,1995
11.99997683,-83.76494938,Nicaragua,1995
7.970016092000001,-11.74001754,Sierra Leone,1995
61.35200319,16.36658728,Sweden,1995
47.51669707,9.766701588,Austria,1995
13.10200258,-59.61652674,Barbados,1995
5.040375792,-55.02001144,Suriname,1995
15.75041974,-84.47999618,Honduras,1995
19.7592224,-72.21251602,Haiti,1995
14.00197349,-61.00000818,Saint Lucia,1995
51.89860089,-8.49577112,Ireland,1995
-20.31619017,57.51663367,Mauritius,1995
55.87995994,26.50999914,Latvia,1995
25.28655601,51.53296789,Qatar,1995
42.66094769,18.09139156,Croatia,1995
38.56003522,68.77387935,Tajikistan,1995
-8.516651999,179.2166471,Tuvalu,1995
-8.09962319,156.8350158,Solomon Islands,1995
-27.29617755,31.90000606,Swaziland,1995
58.9430556,23.5413889,Estonia,1995
60.99699611,24.47199954,Finland,1995
54.95040428,23.88003048,Lithuania,1995
13.14827883,-61.21206242,Saint Vincent and the Grenadines,1995
-16.41658323,179.38330359999995,Fiji,1995
34.9170031,33.63599757,Cyprus,1995
46.05528831,14.51496903,Slovenia,1995
26.23613629,50.58305172,Bahrain,1995
-11.7041577,43.2402441,Comoros,1995
27.3833011,89.51670065,Bhutan,1995
10.65199709,-61.51703089,Trinidad and Tobago,1995
12.0526334,-61.74164323,Grenada,1995
1.645002051,7.412004483,Sao Tome and Principe,1995
1.293033466,103.8558207,Singapore,1995
35.89973248,14.51471065,Malta,1995
-4.616631654,55.44998979,Seychelles,1995
25.0343,-77.3963,Bahamas,1995
6.6111,20.9394,Central African Rep.,1995
18.7357,-70.1627,Dominican Rep.,1995
13.4432,15.3101,Gambia,1995
22.3964,114.1095,"China, Hong Kong SAR",1995
32.4279,53.688,Iran (Islamic Rep. of),1995
35.9078,127.7669,Rep. of Korea,1995
22.1987,113.5439,"China, Macao SAR",1995
41.6086,21.7453,The former Yugoslav Republic of Macedonia,1995
34.8149145,39.0464523,Syrian Arab Rep.,1995
6.4238,-66.5897,Venezuela (Bolivarian Republic of),1995
31.9522,35.2332,Palestinian,1995
47.4116,28.3699,Rep. of Moldova,1995
40.3399,127.5101,Dem. People's Rep. of Korea,1995
16.5388,-23.0418,Cabo Verde,1995
14.6415,-61.0242,Martinique,1995
3.9339,-53.1258,French Guiana,1995
4.5353,114.7277,Brunei Darussalam,1995
-13.84154504,-171.7386416,Samoa,2015
8.766556619,27.40002234,South Sudan,2015
17.30203046,-62.71700932,Saint Kitts and Nevis,2015
49.88330105,6.166701555,Luxembourg,2015
19.28043683,-81.32998173,Cayman Islands,2015
36.13243495,-5.37807483,Gibraltar,2015
21.46642743,-71.13597864,Turks and Caicos Islands,2015
7.345226355,134.4695009,Palau,2015
-15.51255573,167.17660680000003,Vanuatu,2015
7.103004311,171.38000019999996,Marshall Islands,2015
4.16670819,73.49994747,Maldives,2015
43.73964569,7.406913172999999,Monaco,2015
-18.64957355,-173.9832927,Tonga,2015
12.53038373,-70.02899195,Aruba,2015
42.46597251,19.26630692,Montenegro,2015
-21.25003497,-159.7500013,Cook Islands,2015
15.30101564,-61.38701298,Dominica,2015
17.11803652,-61.85003382,Antigua and Barbuda,2015
43.91715008,12.46667029,San Marino,2015
1.338187506,173.01757080000004,Kiribati,2015
47.13372377,9.516669473,Liechtenstein,2015
18.2206,-63.0686,Anguilla,2015
12.1696,-68.99,Curaçao,2015
7.4256,150.5508,Micronesia (Federated States of),2015
-0.5228,166.9315,Nauru,2015
18.0425,-63.0548,Sint Maarten (Dutch part),2015
-8.8742,125.7275,Timor-Leste,2015
46.8852,-56.3159,Saint-Pierre-et-Miquelon,2015
77.5536,23.6703,Svalbard and Jan Mayen,2015
16.265,-61.551,Guadeloupe,2015
-19.0544,-169.8672,Niue,2015
-29.0408,167.9547,Norfolk Island,2015
-14.2938,-178.1165,Wallis and Futuna Islands ,2015
